ID,x1,x2,Class
1,-0.028648,0.85127,1
2,0.1624,0.60591,1
3,0.33157,0.92497,1
4,-0.46327,-1.0399,-1
5,1.0148,-0.0087281,1
6,-0.14184,-0.61633,-1
7,1.3208,0.0092195,1
8,-0.35245,-0.59305,-1
9,-0.14162,-0.59455,-1
10,0.5561,0.16316,1
11,0.70046,0.81292,1
12,-0.99299,-0.65153,-1
13,1.1311,0.44943,1
14,-0.01535,0.36107,1
15,0.0001316,-0.49388,-1
16,0.57723,0.17814,1
17,0.50738,1.0148,1
18,0.468,1.592,1
19,0.35866,1.1882,1
20,0.5629,0.97581,1
21,1.0541,0.70655,1
22,0.1856,-0.03031,1
23,0.54126,0.32665,1
24,0.51024,0.28525,1
25,-0.79164,0.1683,-1
26,-0.35904,-0.43085,-1
27,-0.77138,-0.82324,-1
28,0.44154,0.73839,1
29,-0.10387,-0.76809,-1
30,-0.23433,-0.33683,-1
31,-0.4233,-0.65571,-1
32,0.52133,0.57841,1
33,-0.053594,-1.2085,-1
34,-0.27748,-0.27114,-1
35,-0.15538,-0.57438,-1
36,-1.031,-0.63624,-1
37,0.89256,0.68461,1
38,-0.36363,-0.58653,-1
39,0.89419,0.16678,1
40,1.075,0.86216,1
41,-0.23027,-0.36947,-1
42,1.1196,1.0408,1
43,-0.24921,-0.65777,-1
44,-0.47966,-0.91599,-1
45,-0.69233,-0.86484,-1
46,0.36464,0.55734,1
47,-0.30085,-0.38953,-1
48,0.89592,0.51019,1
49,-0.39624,-0.76788,-1
50,1.0365,0.25887,1
51,0.40381,0.96981,1
52,-0.24945,-0.55147,-1
53,1.1892,0.83923,1
54,-0.39097,-0.46127,-1
55,1.0752,0.47563,1
56,-0.4062,-0.65317,-1
57,0.94901,0.77968,1
58,0.4944,0.32394,1
59,-0.6647,-0.20993,-1
60,0.22867,-0.53265,-1
61,0.95935,0.38718,1
62,0.71179,0.78507,1
63,0.71011,0.28537,1
64,-0.55187,-0.82714,-1
65,-0.54417,-0.87961,-1
66,1.0348,0.91586,1
67,0.20683,1.0896,1
68,-0.35075,-0.059711,-1
69,-0.90015,-0.90121,-1
70,-0.6782,-0.16564,-1
71,0.86176,0.32211,1
72,-0.26534,-0.038983,-1
73,0.39969,0.015425,1
74,1.0617,0.041212,1
75,-0.32784,-1.0177,-1
76,0.12783,0.80618,1
77,-0.36393,-1.2714,-1
78,0.16417,0.14811,1
79,0.71429,1.1637,1
80,1.2973,0.6638,1
81,0.34872,0.46261,1
82,-0.15322,-0.98607,-1
83,-0.61556,-0.3632,-1
84,-0.99948,-0.17355,-1
85,0.17359,0.36667,1
86,-0.61536,-0.99082,-1
87,0.60051,0.42244,1
88,0.7605,0.2434,1
89,1.4486,0.33017,1
90,0.65498,0.42995,1
91,-0.81539,-0.99182,-1
92,1.1344,0.61154,1
93,-0.2235,-0.66725,-1
94,-0.25663,-0.49818,-1
95,-0.60005,-0.27218,-1
96,-0.64275,0.21468,-1
97,0.83739,0.59268,1
98,-0.66097,0.045653,-1
99,-1.1953,-0.31616,-1
100,0.45357,0.89527,1
101,-1.1642,-0.73772,-1
102,-0.67518,-0.56336,-1
103,0.22366,0.67302,1
104,0.77259,0.66191,1
105,0.30159,1.2113,1
106,-0.50581,-0.2228,-1
107,-0.38921,-1.5616,-1
108,0.29071,0.21629,1
109,0.89728,0.81076,1
110,0.22084,0.295,1
111,0.017458,1.1636,1
112,-0.50656,-0.85657,-1
113,0.23407,0.048986,1
114,0.62655,0.0042577,1
115,-0.065991,0.090543,-1
116,0.8768,0.55203,1
117,-0.38714,-0.4044,-1
118,0.64366,0.56506,1
119,0.67656,0.77302,1
120,-0.16093,1.023,1
121,0.37738,-0.79082,-1
122,-1.0258,-1.0204,-1
123,-0.98869,-0.70092,-1
124,-0.29607,-0.76003,-1
125,-0.47721,-0.38209,-1
126,-0.30907,-0.6651,-1
127,-0.72887,0.0054338,-1
128,0.35607,-0.67904,-1
129,-1.1651,-0.835,-1
130,-0.17394,-0.77606,-1
131,-0.80559,-1.2335,-1
132,0.13415,0.94617,1
133,0.82447,0.8497,1
134,0.41324,0.40504,1
135,-0.75439,-0.71794,-1
136,0.29523,1.0172,1
137,0.92817,0.39078,1
138,-0.84196,-0.22539,-1
139,-1.2925,-0.17544,-1
140,-0.16456,0.072051,-1
141,-0.96268,-0.4201,-1
142,-1.0551,-0.47226,-1
143,-0.49849,-0.28188,
144,0.13589,-0.61671,
145,-0.44436,-0.20205,
146,-1.0941,-0.76264,
147,0.2539,0.21946,
148,-0.036167,-0.1147,
149,0.20245,1.0088,
150,-0.16532,0.40183,
